lng,num_ratings,tid,name,rating,features,elevGain,lat,elevMax,kml,length
-121.8646,42,skyline-divide,"Skyline Divide",4.5,mvpd,2500,48.8809,6563,,9.0
-118.5233,7,snow-peak,"Snow Peak",3.7,fmvakd,875,48.5772,6400,,10.0
-123.0072,4,snow-creek,"Snow Creek",3.0,,,47.9368,,,
-123.6478,4,skyline-1,Skyline,3.0,,,47.5755,,,
-121.3692,4,slide-lake,"Slide Lake",2.5,,300,48.4265,3100,,2.5
-120.9527,5,snowy-creek,"Snowy Creek",3.4,,,47.8273,,,
-121.5190,19,snowgrass,"Snowgrass Flat",4.3,mved,1600,46.4642,5800,,8.2
-122.2294,5,siouxon,"Siouxon Creek",2.8,r,2360,45.9406,1840,,13.8
-122.1515,1,soos-creek-trail,"Soos Creek Trail",3.0,fvakd,,47.3896,,,12.0
-123.8353,5,sol-duc-river,"Sol Duc River",3.0,,,47.9551,,,
-121.4230,9,source-lake,"Source Lake",3.9,rlv,700,47.4454,3800,,6.0
-121.1455,12,sourdough-mountain,"Sourdough Mountain",3.6,mvs,5085,48.7179,5985,,11.0
-122.1251,4,snohomish-centennial,"North Centennial Trail (Snohomish)",3.0,fkd,50,48.1987,171,,4.0
-118.6804,10,snake-river-columbia-plateau-trail,"Snake River - Columbia Plateau Trail",4.2,rmak,150,46.3905,750,,6.0
-122.2671,7,south-coldwater-trail,"South Coldwater Trail",3.4,lvap,1400,46.2915,4000,,7.0
-123.8627,12,sol-duc-falls-loop,"Sol Duc Falls",3.8,woek,400,47.9700,2000,,5.3
-121.0485,5,south-fork-boulder-creek,"Boulder Creek - Gallagher Head Lake",3.2,lmpd,2100,47.4558,5606,,9.0
-121.4235,5,source-lake-snowshoe,"Source Lake Snowshoe",3.4,lva!,1000,47.4454,4100,,5.0
-121.8370,15,snoqualmie-falls,"Snoqualmie Falls",3.3,rwfkd,250,47.5437,450,,1.4
-121.1562,4,south-fork-cascade-river,"South Fork Cascade River",2.2,rfad,1800,48.4653,2000,,9.0
-119.4430,1,similkameen-trail,"Similkameen Trail",5.0,rwfmvakd,40,48.9390,940,,4.0
-121.4235,4,snow-lake-snowshoe,"Snow Lake Snowshoe",4.2,lvpe!,2000,47.4454,5100,,10.0
-121.5321,12,snoqualmie-lake,"Snoqualmie Lake",3.5,rlwvaed,1900,47.5614,3147,,17.0
-120.8320,4,south-fork-agnes-creek-1,"South Fork Agnes Creek",3.0,,,48.3796,,,
-121.4346,4,snipes-mountain,"Snipes Mountain - Pine Way",3.0,m,500,46.1029,4800,,5.0
-117.4215,3,slavin-conservation-area-loop,"Slavin Pond Loop",3.3,lakd,246,47.5326,2341,,3.3
-120.4502,4,slate-creek-1,"Slate Creek",2.5,mvapd,3700,48.3957,6600,,6.0
-121.7350,34,skyline,"Skyline Trail Loop",4.5,rwmva,1450,46.7860,6800,,5.5
-120.7097,17,snow-lakes,"Snow Lakes",3.8,rlwmvape,4300,47.5441,5500,http://wta.org/kml/snow-lakes.kmz,14.0
-122.2428,7,silver-star-mountain,"Silver Star Mountain",3.7,fmvspd,1000,45.7682,4390,,4.0
-121.5057,20,sourdough-gap,"Sheep Lake to Sourdough Gap",3.7,lmvakd,1100,46.8911,6400,,6.0
-117.5010,3,south-fork-silver-creek-trail-123,"South Fork Silver Creek Trail to Gunsight Pass",3.3,ofmvad,2370,48.9115,5600,,14.0
-123.4521,5,six-ridge,"Six Ridge",3.4,lmvspe,3150,47.4794,4650,,21.1
-122.0001,5,soda-peaks-lake,"Soda Peaks Lake",3.2,love,2500,45.8846,3700,,7.0
-121.0885,7,skyline-lake,"Skyline Lake",2.7,lfvd,1050,47.7473,5100,,2.5
-121.6576,7,sleeping-beauty-peak,"Sleeping Beauty Peak",4.4,vsp,1400,46.0851,4900,,2.6
-122.0546,4,smith-creek,"Smith Creek",3.2,r,200,46.1826,1800,,6.0
-122.0348,5,strawberry-mountain,"Strawberry Mountain",2.4,,,46.3468,,,
-121.3582,5,stirrup-lake,"Stirrup Lake",3.8,lfv,600,47.3642,3630,,4.0
-121.7537,6,steamboat-mountain,"Steamboat Mountain",4.0,vskd,625,46.1471,,,1.4
-120.8351,3,spider-gap-1,"Spider Gap",4.0,mvpd,,48.0825,,,15.0
-119.0491,3,strawberry,"Strawberry Mountain",2.0,,,48.8526,,,
-122.5907,6,south-whidbey-state-park,"South Whidbey State Park",3.8,ovk,200,48.0562,400,,2.7
-121.6674,6,south-point-lookout," South Point Lookout",2.5,ovsd,2900,46.5254,5980,,7.0
-120.7213,4,stehekin-river-trail,"Stehekin River Trail",4.0,rlfvaek,100,48.3453,1200,,7.6
-122.1793,8,spencer-island,"Spencer Island",3.4,rvak,0,47.9942,15,,6.6
-121.9760,4,south-tiger-traverse,"South Tiger Traverse",4.0,kd,,47.4434,,,3.4
-123.3300,16,staircase,"Staircase Rapids",3.8,rok,150,47.5158,950,,4.0
-123.8025,21,spruce-railroad,"Spruce Railroad Trail",4.0,lvk!,250,48.0933,700,,8.0
-121.8636,36,spray-park,"Spray Park",4.2,womva,1700,46.9327,6500,,8.0
-123.5652,4,spoon-creek-falls,"Spoon Creek Falls",3.0,wod,200,47.3538,1000,,0.8
-122.0554,5,squak-mountain-may-valley-trail,"May Valley Trail",2.8,rvad,,47.4807,,,6.0
-122.7291,6,south-indian-island,"South Indian Island",3.2,cvk,50,48.0319,50,,4.0
-122.3542,5,squires-lake,"Squires Lake",3.2,lmad,200,48.6459,680,,2.0
-120.3283,0,star-peak,"Star Peak",0.0,lvs,,48.2872,8690,,
-121.5977,6,stagman-ridge,"Stagman Ridge - The Bumper",4.2,mvapd,1700,46.1405,5900,,9.0
-121.5410,3,stegosaurus-butte,"Stegosaurus Butte",2.7,,,47.5475,,,
-121.0143,2,stevens-pass-nordic-center,"Stevens Pass Nordic Center",1.0,rak,,47.7727,,,4.0
-122.1111,3,st.-cloud,"St. Cloud",3.7,rk,0,45.6013,50,,1.0
-120.8350,22,spider-meadows,"Spider Meadow and Phelps Basin",4.0,omvae,1900,48.0829,5400,,13.0
-123.4670,5,spider-lake,"Spider Lake",2.8,loa,250,47.4155,1400,,2.0
-121.0975,4,squaw-lake,"Squaw Lake",3.5,lk,1400,47.5432,4841,,5.0
-123.6986,8,striped-peak,"Striped Peak",3.2,coek,850,48.1622,1166,,5.0
-122.3823,0,stanwood-levee-trail,"Leque Island - Stanwood Levee Trail",0.0,cva,,48.2309,,,
-122.4626,1,south-lost-lake-trail,"South Lost Lake Trail",4.0,lwofkd,1950,48.6468,1650,,9.0
-122.2224,4,starway,Starway,3.2,vsd,2377,45.7873,3977,,11.0
-121.6766,2,stevens-peak,"Stevens Peak",3.5,vs,,46.7461,,,
-122.3769,1,stimpson-nature-reserve,"Stimpson Nature Reserve",3.0,woak!,300,48.7320,800,,4.9
-121.6391,8,stevens-canyon-waterfalls,"Stevens Canyon Waterfalls",3.0,rwe,1675,46.7602,3750,,8.0
-121.9721,4,spencer-creek-trail,"Spencer Creek (Bluff) Trail",2.2,v,1800,46.0608,3400,,6.0
-120.8406,10,spider-gap-buck-creek-pass-loop,"Spider Gap - Buck Creek Pass Loop",4.0,lfmvape,7200,48.0674,7100,,44.0
-121.4790,0,stauk-mountain,"St'auk Mountain",0.0,,,48.0371,4715,,
-121.6298,5,squire-creek,"Squire Creek",3.6,fp,2566,48.2088,,,8.5
-120.8248,8,stafford-creek,"Stafford Creek",2.5,,,47.3781,,,
-121.1103,0,spinnaker-peak-snowshoe,"Spinnaker Peak Snowshoe",0.0,!,,47.7833,5645,,
-120.4392,0,stormy-mountain-summit,"Stormy Mountain Summit",0.0,vs,5500,47.8905,,,13.0
-122.0363,6,squak-mountain-eastside-loop,"Squak Mountain's East Side Loop",2.8,rwa,1700,47.5284,2025,,8.0
-120.8412,5,standup-creek,"Standup Creek",2.0,mvp,3100,47.3515,6200,,8.0
-119.8667,3,spanish-creek,"Spanish Creek",2.3,,,48.8848,,,
-122.3402,2,southwest-county-park,"Southwest County Park",2.0,rl,,47.8367,,,
-122.0850,4,spring-lake-lake-desire-park,"Spring Lake/Lake Desire Park",3.2,lmvkd,,47.4375,,,3.0
-121.9783,3,south-tiger-powerline,"South Tiger Powerline",2.7,kd,,47.4544,,,1.2
-121.0862,5,spade-lake,"Spade Lake",2.2,rlomv,2300,47.4184,5400,,25.6
-121.1888,10,spectacle-lake,"Spectacle Lake",4.2,rlwoved,1500,47.4337,4600,,17.2
-122.8595,3,spencer-spit,"Spencer Spit",3.7,,60,48.5363,60,,1.2
-121.9305,4,spencer-butte,"Spencer Butte",3.8,ma,2240,46.1725,4325,,4.8
-122.0578,13,squak-mountain,"Squak Mountain",3.0,rmvad,1684,47.5230,2024,,6.6
-119.1296,15,steamboat-rock,"Steamboat Rock",4.3,mvak,650,47.8635,2250,,6.0
-120.9372,2,south-ingalls-peak,"South Ingalls Peak",3.5,,,47.4359,,,
-121.6355,2,stevens-canyon-segment-of-wonderland-trail,"Wonderland Trail - Stevens Canyon",4.5,,,46.7657,,,
-117.4936,5,spokane-river-centennial,"Spokane Centennial Trail",3.8,rfakd,600,47.6968,2200,,74.0
-123.1688,4,sunnybrook-meadows,"Sunnybrook Meadows",2.5,,4000,47.7365,5650,,12.0
-121.7813,5,summit-prairie,"Quartz Ridge-Summit Prairie",3.4,mvp,1800,46.1978,5245,,6.0
-122.9043,3,sucia-island,"Sucia Island",4.3,,,48.7528,,,
-121.6909,1,sultan-gorge,"Sultan Gorge",4.0,,,47.9793,,,
-121.1936,5,sulphur-creek,"Sulphur Creek",3.4,ro,900,48.2498,2250,,3.6
-122.0469,4,summit-trail,"Summit Trail",4.2,spd,,47.5045,,,
-121.5326,4,sun-top,"Suntop Lookout",2.5,vskd,1100,47.0088,5400,,2.1
-122.2616,7,sumas-mountain,"Sumas Mountain",3.7,ovsd,2000,48.9245,3100,,6.0
-121.5190,55,talapus-lake,"Talapus and Olallie Lakes",3.6,lofvakd,1220,47.4007,3780,,6.2
-117.8454,2,table-rock-squaw-peak,"Table Rock - Squaw Peak",4.5,vs,1800,46.0916,5900,,22.0
-120.9533,4,taneum-ridge,"Taneum Ridge - Fishhook Flats",3.5,,1400,47.1155,4200,,14.0
-122.3378,3,tarbell-trail,"Tarbell Trail",2.3,,,45.7757,4120,,24.8
-121.5792,3,tamanos-mountain,"Tamanos Mountain",3.3,s,,46.8938,,,
-120.5786,2,swauk-forest-discovery-trail-snowshoe,"Swauk Forest Discovery Trail  Snowshoe",1.5,a!,450,47.3322,4552,,5.0
-121.7174,5,tatoosh-lakes,"Tatoosh Lakes",2.8,lomvp,3400,46.7244,5750,,6.6
-121.9707,4,talus-rock-trail,"Talus Rock Trail",3.2,,,47.5198,,,1.2
-121.6699,4,swift-creek,"Swift Creek",2.8,rod,,48.7648,,,16.0
-121.9711,9,taylor-mountain,"Taylor Mountain",2.1,oakd,550,47.4329,1100,,30.0
-121.5878,10,sunrise-lake,"Sunrise Lake",3.7,lak,425,46.9175,6150,,1.5
-122.0951,3,surprise-creek,"Surprise Creek",2.7,akd,,47.5401,,,0.6
-121.8672,6,sunset-park-and-golden-lakes,"Sunset Park and Golden Lakes",3.7,,,46.9306,,,
-121.5996,4,surprise-lake-snowshoe,"Surprise Lake Snowshoe",2.5,lwova,2300,46.5687,4500,,8.0
-121.9846,3,sunshine-trail-198,"Sunshine Trail",3.3,,1600,45.8747,3400,,1.5
-121.4648,0,sunset-mine,"Sunset Mine",0.0,,,47.8592,,,
-121.7434,7,sunrise-peak,"Sunrise Peak",3.6,fmvsd,1400,46.3354,5892,,3.0
-120.2923,6,sunrise-lake-1,"Copper Glance Lake",4.2,lofm,2800,48.7411,6350,,6.0
-120.3206,9,swakane-canyon,"Swakane Canyon",3.2,fmva!,1450,47.5650,3000,,6.0
-121.3203,5,swamp-lake,"Swamp Lake",2.8,,,46.8569,,,
-120.5281,5,sugarloaf,Sugarloaf,2.2,,,47.7574,,,
-120.2974,1,sun-mountain-trails,"Sun Mountain Trails",2.0,,,48.4732,,,
-122.6295,8,sugarloaf-1,Sugarloaf,2.8,lfvsad,890,48.4676,1275,,2.5
-121.1888,4,sulphur-mountain,"Sulphur Mountain",3.0,omvs,4200,48.2447,6000,,10.0
-123.4554,5,sundown-pass,"Sundown Pass",3.0,,,47.4839,,,
-121.5956,3,sun-top-snowshoe,"Sun Top Snowshoe",2.5,s,3000,47.0371,5280,,10.0
-121.4566,0,sundown-lake-way-trail,"Wynoochee Pass to Sundown Lake",0.0,lp,3150,45.8575,3820,,12.0
-121.5956,6,sunday-lake,"Sunday Lake",2.5,lomvad,355,47.6467,1900,,6.2
-117.2852,5,sullivan-lake,"Sullivan Lake",3.4,f,250,48.8404,2840,,8.2
-121.8269,39,summit-lake,"Summit Lake",4.3,lvsakd,1300,47.0319,5800,,6.1
-120.5790,6,swauk-forest-discovery-trail,"Swauk Forest Discovery Trail",3.2,romva,,47.3354,,,2.5
-121.7563,10,talus-loop,"Talus Loop",3.3,rovd,1750,47.4878,2120,,5.1
-121.9349,4,table-mountain-2,"Table Mountain",3.2,,,45.6507,,,
-121.5992,5,takhlakh-loop,"Takhlakh Lake and Takh Takh Meadow",3.6,lvek,90,46.2766,4460,,3.0
-121.8871,6,tahoma-creek,"Tahoma Creek",4.0,,,46.7838,,,
-121.9326,2,tamanous-trail-27,"Tamanous Trail",1.5,rfvkd,120,45.6503,200,,1.2
-121.3700,0,sweet-chariot,"Sweet Chariot",0.0,,,48.4272,,,
-121.7158,9,tatoosh,"Tatoosh Ridge",3.7,lomvsp,2900,46.7131,5775,,6.2
-121.9795,4,table-mountain-3,"Table Mountain",3.5,vsd,3350,45.6479,3417,,16.0
-121.5227,3,talapus-lake-snowshoe,"Talapus Lake Snowshoe",3.0,lv!,1600,47.4027,3280,,8.5
-121.7155,5,tatoosh-lookout,"Tatoosh Lookout",3.4,omvsp,4100,46.7161,6400,,10.4
-120.3332,0,swakane-peak,"Swakane Peak",0.0,fms,,47.5641,,,
-121.3068,10,surprise-lake-2,"Surprise Lake",3.3,rlmve,1200,46.4930,5255,,10.0
-121.9961,5,swamp-trail,"Swamp Trail",3.6,lfmakd,75,47.5296,520,,1.0
-123.4950,7,sunrise-ridge,"Sunrise Ridge",3.0,mvapk,1000,47.9701,5500,,5.2
-121.3964,0,surveyors-lake-snowshoe,"Surveyors Lake Snowshoe",0.0,,,47.3907,,,
-118.8356,4,swan-lake,"Swan Lake",3.0,,360,48.5155,3960,,3.1
-121.1567,27,surprise-lake-1,"Surprise and Glacier Lakes",3.3,lwoved,2700,47.7078,4900,,11.0
-120.3363,0,toppenish-nwr,"Toppenish National Wildlife Refuge",0.0,mak,0,46.3058,,,2.0
-121.0705,4,tired-creek,"Tired Creek",3.5,,,47.4575,,,
-117.6277,0,third-creek-3100,"Third Creek",0.0,roe,2000,46.0888,,,34.0
-121.8391,7,thomas-lake,"Thomas, Blue and Tombstone Lakes",2.4,,1015,46.0057,4150,,7.0
-118.7353,4,thirteenmile,"Thirteenmile (13 mile)",2.2,rmvek,2000,48.4818,4600,,16.0
-120.8344,5,tieton-river-nature-trail,"Tieton River Nature Trail",4.0,rmakd,300,46.7192,600,,6.8
-124.6031,10,toleak-point,"South Coast Wilderness Trail - Toleak Point",4.2,crae,250,47.8904,250,,17.0
-121.8636,45,tolmie-peak,"Tolmie Peak Lookout - Eunice Lake",4.3,lmvspk,1100,46.9327,5900,,7.5
-122.5813,1,tommy-thompson-trail,"Tommy Thompson Trail",4.0,cvakd,0,48.4802,25,,6.6
-121.9957,7,tiger-mountain-trail-north,"Tiger Mountain Trail North",2.9,fmad!,2400,47.5296,2500,http://wta.org/kml/tiger-mountain-trail-north.kmz,15.5
-121.3584,5,tieton-meadows,"Tieton Meadows",3.4,rma,200,46.5768,3600,,3.5
-123.4766,4,three-forks-1,"Three Forks",2.8,,,47.9485,,,
-120.8447,5,top-lake,"Top Lake",2.2,lmv,,47.8548,,,8.6
-121.6484,7,tomyhoi-lake,"Tomyhoi Lake",2.4,lmvap,1800,48.9454,5400,,8.0
-122.0078,2,three-corner-rock,"Three Corner Rock",3.5,mvs,800,45.7447,3550,,4.4
-121.1880,2,tonga-ridge-snowshoe,"Tonga Ridge Snowshoe",5.0,vp!,1400,47.6551,5100,,7.0
-121.0925,16,thunder-creek-1,"Thunder Creek",3.6,ropek!,1300,48.6855,1900,,12.0
-121.9776,8,tiger-mountain-trail,"Tiger Mountain Trail",3.5,fmd,2360,47.4425,2500,,15.2
-121.1742,0,thomas-mountain,"Thomas Mountain",0.0,lvsp,3400,47.2676,,,8.0
-121.9776,6,tiger-mountain-trail-south,"Tiger Mountain Trail South",2.8,fmakd,520,47.4425,1100,,3.5
-121.3242,15,thornton-lakes-and-trappers-peak,"Thornton Lakes and Trappers Peak",4.3,lvs,2900,48.6537,5000,,10.2
-120.8198,3,three-brothers-mountain,"Three Brothers Mountain",2.7,mp,,47.3614,,,
-122.4921,4,the-tacoma-nature-center,"Tacoma Nature Center Interpretive Walks",3.0,lmak,,47.2414,,,3.0
-119.9648,10,tiffany-mountain,"Tiffany Mountain",4.1,mvspk,1740,48.6630,8242,,6.0
-121.1597,2,thorp-mountain-snowshoe,"Thorp Mountain Snowshoe",2.0,s,2800,47.3726,5100,,15.0
-121.5835,4,thompson-lake,"Thompson Lake",3.8,lwoe,,47.4248,4200,,19.8
-122.7403,0,the-kettles-trail-system-of-whidbey-island,"The Kettles Trail System of Whidbey Island",0.0,,,48.2270,,,
-121.7653,9,tongue-mountain,"Tongue Mountain",3.1,mvs,1200,46.3965,4838,,3.0
-121.3010,2,tieton-river-meadows-snowshoe,"Tieton River Meadows Snowshoe",4.0,rmvakd!,350,46.6225,3500,,10.0
-124.5990,13,third-beach,"Third Beach",3.9,cwoak,280,47.8906,280,,3.6
-120.8114,1,tieton-pond,"Tieton Pond Snowshoe",5.0,rlvd,,46.7267,,,4.5
-123.6637,5,three-lakes-1,"Three Lakes",3.0,,,47.5598,,,
-121.0980,14,thunder-knob,"Thunder Knob",3.6,lvekd,635,48.6905,1875,,3.6
-121.1887,23,tonga-ridge,"Tonga Ridge / Mount Sawyer",3.4,fmvspekd,1200,47.6529,5495,,8.0
-121.5892,4,three-peaks,"Three Peaks and Mosquito Lake",2.8,ovp,1700,46.6267,4900,,10.0
-121.9269,2,tolt-mcdonald-park,"Tolt-MacDonald Park",3.0,rkd,,47.6442,,,12.0
-121.1861,3,thorp-creek,"Thorp Creek",3.3,,,47.3570,,,
-121.1578,9,thorp-lake,"Thorp Lake",4.1,le,1300,47.3733,4800,,7.0
-121.6878,13,three-fingers,"Three Fingers",4.5,lmvsp,4200,48.1697,6854,,15.0
-121.7925,0,tomlike-mountain,"Tomlike Mountain",0.0,lomvsap,1300,45.5776,4555,,6.0
-121.2088,8,thorp-mountain,"No Name Ridge - Thorp Mountain",4.0,lv,1000,47.4101,5854,,9.0
-121.9289,5,tiger-mountain-road,"Tiger Mountain Road",3.6,,,47.4659,,,
-118.7380,5,ten-mile-1,"Ten Mile",3.6,,,48.5185,,,
-121.6991,4,the-castle,"The Castle",4.0,s,,46.7666,,,
-123.1512,4,the-brothers,"The Brothers",3.0,lovsed,6050,47.5997,6866,,13.2
-120.7514,4,ten-mile,"Ten Mile",2.5,,,48.1992,,,
-120.7184,7,teanaway-ridge,"Teanaway Ridge",3.0,mp,1900,47.3543,5489,,6.0
-120.9377,0,teanaway-butte-via-jungle-creek,"Teanaway Butte via Jungle Creek",0.0,vsp,2150,47.3314,4760,,8.0
-117.1027,4,trail-130,"Mount Spokane - Trail 130",4.0,ofmvakd,,47.9048,,,12.0
-121.1099,1,trap-lake,"Trap Lake",5.0,lomvd,2700,47.7185,5400,,11.0
-122.2136,5,trail-of-two-forests,"Trail of Two Forests",3.4,ovk,50,46.0993,1885,,0.5
-121.0976,4,trail-creek-1,"Trail Creek",1.8,rlped,1840,47.5431,4750,,9.4
-121.8107,7,trail-of-the-shadows,"Trail of the Shadows",2.4,roa,20,46.7497,2770,,0.7
-121.2433,5,trail-of-the-cedars,"Trail of the Cedars",3.6,mak!,,48.6760,,,1.0
-121.3412,1,trapper-peak,"Trapper Peak",5.0,,,48.6511,,,
-121.1066,4,trap-pass,"Trap Pass",2.8,lwmvp,2700,47.7093,5800,,11.4
-121.8446,1,traditional-knowledge-trail,"Traditional Knowledge Trail",4.0,omk,,47.5157,,,0.3
-117.9436,6,towell-falls,"Escure Ranch - Towell Falls",3.5,wmakd!,530,47.0143,1565,,6.4
-121.9957,7,tradition-lakes,"Tradition Lake Loop",3.4,lofmakd,150,47.5296,540,,2.9
-119.2865,5,trail-lake-coulee,"Trail Lake Coulee",2.6,lma!,100,47.5344,,,5.0
-121.9836,6,trapper-creek,"Trapper Creek",3.5,rwomakd,,45.8817,4607,,9.0
-117.6253,4,tucannon-river,"Tucannon River Canyon",1.5,ra,500,46.1886,4050,,8.0
-122.1362,6,truman,"Truman Trail-Pumice Plains",3.8,lva,200,46.2499,4000,,10.0
-121.6625,7,twin-lakes-2,"Twin Lakes (North Cascades)",2.4,,,48.9435,,,
-120.6368,3,trout-creek-1,"Trout Creek",2.0,,,48.6983,,,
-120.8949,8,twin-lakes-1,"Twin Lakes (Wenatchee)",3.0,rloved,1000,47.9205,2850,,8.4
-121.4014,3,troublesome-creek-nature,"Troublesome Creek Nature",2.7,,,47.8983,,,
-120.7076,5,tumwater,"Tumwater Pipeline Trail",3.6,rfmvakd,100,47.5871,1400,,2.4
-123.0521,9,tunnel-creek-1,"Tunnel Creek",3.3,lofvpe,2450,47.7815,4500,,9.4
-121.1065,4,tunnel-creek,"Tunnel Creek",3.2,lwmd,1300,47.7094,4400,,1.6
-122.9775,8,turtleback-mountain,"Turtleback Mountain",3.8,cvd,830,48.6410,930,,3.0
-123.1124,4,tull-canyon,"Tubal Cain Mine",2.2,roed,1600,47.9620,4600,,7.2
-121.8388,4,twin-firs-loop,"Twin Firs Loop",2.2,ok,50,46.7344,2550,,0.5
-120.9170,8,trout-lake,"Trout Lake",3.2,lofd,2000,47.6059,4800,,11.5
-120.4433,4,twin-peaks,"Twin Peaks",4.0,,,47.3821,,,
-120.5983,3,tronsen-head-5980,"Tronsen Head 5980'",3.0,,,47.4327,,,
-121.7998,2,triple-creek-falls,"Triple Creek Falls",1.0,,,48.0936,,,
-120.5265,9,tronsen-ridge,"Tronsen Ridge",3.9,fmvp,1000,47.3227,5800,,8.0
-121.4437,1,twin-lakes-monte-cristo,"Twin Lakes (Monte Cristo)",5.0,,,48.0251,,,
-121.6761,132,twin-falls-state-park,"Twin Falls",4.2,rwokd!,500,47.4420,1000,,3.5
-117.5311,7,turnbull-national-wildlife-refuge,"Turnbull National Wildlife Refuge",3.6,lfmakd!,0,47.4168,2300,,5.5
-122.9045,1,tumwater-falls-park,"Tumwater Falls Park",5.0,rwfmakd,30,47.0141,150,,0.5
-120.5675,10,twisp-pass,"Twisp Pass",3.6,rfmvped,2460,48.4586,6064,,9.0
-121.3615,9,twin-sisters,"Twin Sisters Lakes",3.2,lekd,900,46.7520,5200,,4.4
-120.5532,4,tronson-meadow,"Tronsen Meadow",2.5,vp,1168,47.3290,5536,,3.4
-121.4610,5,trout-creek,"Trout Creek",3.6,rwfak,500,47.8758,1400,,3.0
-121.3583,2,twin-lakes-snowshoe,"Twin Lakes Snowshoe",1.0,lkd!,400,47.3632,3100,,8.0
-118.9404,4,twin-sisters-rock,"Twin Sisters Rock",4.0,rmk,200,46.0426,500,,1.0
-120.4247,5,twin-peaks-horse-lake-mountain,"Twin Peaks (Horse Lake Mountain)",3.8,,,47.3900,,,
-123.0916,9,tubal-cain-mine-and-buckhorn-lake,"Tubal Cain Mine to Buckhorn Lake",3.8,lmvped,2000,47.8862,5200,,12.0
-120.7211,1,tumwater-botanical-area-road-7903,"Tumwater Botanical Area",5.0,,,47.6567,,,
-122.9738,10,twanoh-state-park,"Twanoh State Park",3.7,ofvapekd,375,47.3774,400,,2.3
-122.1773,3,upper-siouxon-horseshoe-falls,"Upper Siouxon Creek",2.0,rwa,700,45.9466,1570,,8.4
-121.3756,0,upper-wildcat-lake,"Upper Wildcat lake",0.0,lwofmvad,4000,47.4086,4920,,17.0
-118.5005,5,wapaloosie,"Wapaloosie Mountain",3.4,mve,1850,48.6751,6850,,5.0
-122.4871,0,welts-samish-restoration-site,"Welts-Samish Restoration Site",0.0,cva,30,48.5477,,,
-118.9027,4,wallula-habitat-management-unit,"Wallula Habitat Management Unit",3.5,ra,0,46.0678,,,6.0
-122.1724,5,vanson-ridge,"Vanson Ridge",2.6,,,46.4176,,,
-117.7059,0,wenaha-river-trail-3106,"Wenaha River Trail",0.0,rmaekd,,46.2061,,,
-121.2029,4,waptus-pass,"Waptus Pass",3.8,,,47.4842,,,
-121.6820,11,wallace-lake,"Wallace Falls State Park - Greg Ball Trail",3.5,rlwaekd,1500,47.8669,,,8.2
-121.5847,0,voodoo-peak,"Voodoo Peak",0.0,vs,,48.1723,5198,,
-120.5804,4,wenatchee-crest-snowshoe,"Wenatchee Crest Snowshoe",3.5,vk,400,47.3357,4500,,6.0
-120.6821,3,wedge-mtn,"Wedge Mountain",3.7,vp,2400,47.4810,6900,,
-121.7940,4,wahpenayo-peak,"Wahpenayo Peak",3.5,,,46.7465,,,
-123.4556,3,verne-samuelson-trail,"Verne Samuelson Trail",2.7,vakd,,48.0946,,,3.0
-121.6369,2,webb-mountain,"Webb Mountain",3.0,vsp,,47.4345,5335,,
-122.1548,4,vanson-peak,"Vanson Peak",3.8,lmva,2600,46.4294,4948,,13.2
-121.1001,3,waptus-lake,"Waptus Lake",4.3,,900,47.3837,3100,,
-123.4521,9,upper-south-fork-skokomish-river,"Upper South Fork Skokomish River",3.4,ro,1100,47.4794,1800,,8.0
